index,units_sold,discount,placement,end_of_aisle,public_holiday,sales,price,male_ratio,avg_income,avg_income_delta,avg_income_quartile,temperature,week_years,competing_brand_6pk_price,competing_brand_discount
2015/01/01,55,FALSE,top-shelf,FALSE,FALSE,1155,21,0.45322502,94981.74992,14981.74992,4,28,2018/01/15,16.2,FALSE
2015/01/02,72,FALSE,top-shelf,FALSE,FALSE,1512,21,0.504088223,86169.33315,6169.333154,4,33,2018/01/15,16.2,FALSE
2015/01/03,64,FALSE,top-shelf,FALSE,FALSE,1344,21,0.600335193,78599.30265,-1400.697354,2,20,2018/01/15,16.2,FALSE
2015/01/04,86,FALSE,top-shelf,FALSE,FALSE,1806,21,0.702522505,82425.82849,2425.828492,3,33,2018/01/15,16.2,FALSE
2015/01/05,76,FALSE,top-shelf,FALSE,FALSE,1596,21,0.530640096,78464.57944,-1535.420556,2,34,2018/01/15,16.2,FALSE
2015/01/06,49,FALSE,top-shelf,FALSE,FALSE,1029,21,0.542577748,84248.88414,4248.884139,3,18,2018/01/15,16.2,FALSE
2015/01/07,69,FALSE,top-shelf,FALSE,FALSE,1449,21,0.574889267,83633.98336,3633.983361,3,31,2018/02/15,16.2,FALSE
2015/01/08,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.544645148,77460.94582,-2539.05418,2,25,2018/02/15,16.2,FALSE
2015/01/09,52,FALSE,bottom-shelf,FALSE,FALSE,1092,21,0.27948582,77843.5827,-2156.417297,2,20,2018/02/15,16.2,FALSE
2015/01/10,46,FALSE,bottom-shelf,FALSE,FALSE,966,21,0.698181366,71592.39137,-8407.608627,1,24,2018/02/15,16.2,FALSE
2015/01/11,55,FALSE,bottom-shelf,FALSE,FALSE,1155,21,0.237444753,80431.98621,431.9862134,3,22,2018/02/15,16.2,FALSE
2015/01/12,57,FALSE,bottom-shelf,FALSE,FALSE,1197,21,0.427698211,82745.92446,2745.924457,3,32,2018/02/15,16.2,FALSE
2015/01/13,39,FALSE,bottom-shelf,FALSE,FALSE,819,21,0.411693085,78817.54937,-1182.450626,2,20,2018/02/15,16.2,FALSE
2015/01/14,33,FALSE,bottom-shelf,FALSE,FALSE,693,21,0.447482963,81431.45539,1431.455387,3,18,2018/03/15,16.2,FALSE
2015/01/15,59,FALSE,top-shelf,FALSE,FALSE,1239,21,0.40524301,68608.82638,-11391.17362,1,32,2018/03/15,16.2,FALSE
2015/01/16,60,FALSE,top-shelf,FALSE,FALSE,1260,21,0.448083827,63073.50127,-16926.49873,1,22,2018/03/15,16.2,FALSE
2015/01/17,60,FALSE,top-shelf,FALSE,FALSE,1260,21,0.387928862,76228.23823,-3771.761771,2,19,2018/03/15,16.2,FALSE
2015/01/18,53,FALSE,top-shelf,FALSE,FALSE,1113,21,0.542359496,73893.00333,-6106.996665,1,21,2018/03/15,16.2,FALSE
2015/01/19,44,FALSE,top-shelf,FALSE,FALSE,924,21,0.546975875,85474.18592,5474.185922,4,19,2018/03/15,16.2,FALSE
2015/01/20,69,FALSE,top-shelf,FALSE,FALSE,1449,21,0.478730006,82460.87063,2460.870633,3,31,2018/03/15,16.2,FALSE
2015/01/21,68,FALSE,top-shelf,FALSE,FALSE,1428,21,0.53092202,88000.32504,8000.325044,4,34,2018/04/15,16.2,FALSE
2015/01/22,70,TRUE,top-shelf,TRUE,FALSE,1323,18.9,0.45181545,82646.35899,2646.358985,3,18,2018/04/15,16.2,FALSE
2015/01/23,113,TRUE,top-shelf,TRUE,FALSE,2135.7,18.9,0.645444203,92052.30856,12052.30856,4,35,2018/04/15,16.2,FALSE
2015/01/24,73,TRUE,top-shelf,TRUE,FALSE,1379.7,18.9,0.470300311,86158.66165,6158.661655,4,22,2018/04/15,16.2,FALSE
2015/01/25,78,TRUE,top-shelf,TRUE,FALSE,1474.2,18.9,0.541102849,89366.37268,9366.372681,4,21,2018/04/15,16.2,FALSE
2015/01/26,84,TRUE,top-shelf,TRUE,FALSE,1587.6,18.9,0.639344974,82564.27581,2564.27581,3,22,2018/04/15,16.2,FALSE
2015/01/27,95,TRUE,top-shelf,TRUE,FALSE,1795.5,18.9,0.701479346,75701.95032,-4298.049683,2,33,2018/04/15,16.2,FALSE
2015/01/28,79,TRUE,top-shelf,TRUE,FALSE,1493.1,18.9,0.504189311,76783.64538,-3216.354619,2,22,2018/05/15,16.2,FALSE
2015/01/29,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.638554323,95197.02266,15197.02266,4,28,2018/05/15,16.2,FALSE
2015/01/30,50,FALSE,bottom-shelf,FALSE,FALSE,1050,21,0.578615264,70981.23718,-9018.76282,1,28,2018/05/15,16.2,FALSE
2015/01/31,54,FALSE,bottom-shelf,FALSE,FALSE,1134,21,0.556980567,78135.84791,-1864.152089,2,21,2018/05/15,16.2,FALSE
2015/02/01,41,FALSE,bottom-shelf,FALSE,FALSE,861,21,0.509014844,83510.69758,3510.697585,3,19,2018/05/15,16.2,FALSE
2015/02/02,47,FALSE,bottom-shelf,FALSE,FALSE,987,21,0.464784564,83074.73224,3074.732236,3,29,2018/05/15,16.2,FALSE
2015/02/03,34,FALSE,bottom-shelf,FALSE,FALSE,714,21,0.568277019,86704.53692,6704.536919,4,25,2018/05/15,16.2,FALSE
2015/02/04,48,FALSE,bottom-shelf,FALSE,FALSE,1008,21,0.350159057,72709.70093,-7290.299067,1,34,2018/06/15,16.2,FALSE
2015/02/05,53,FALSE,mid-shelf,FALSE,FALSE,1113,21,0.537791463,82568.37958,2568.379575,3,28,2018/06/15,16.2,FALSE
2015/02/06,45,FALSE,mid-shelf,FALSE,FALSE,945,21,0.596153221,75239.87244,-4760.127558,2,19,2018/06/15,16.2,FALSE
2015/02/07,55,FALSE,mid-shelf,FALSE,FALSE,1155,21,0.609458847,76816.7277,-3183.272295,2,27,2018/06/15,16.2,FALSE
2015/02/08,46,FALSE,mid-shelf,FALSE,FALSE,966,21,0.596704143,66506.4002,-13493.5998,1,21,2018/06/15,16.2,FALSE
2015/02/09,38,FALSE,mid-shelf,FALSE,FALSE,798,21,0.461124567,75754.86031,-4245.139694,2,19,2018/06/15,16.2,FALSE
2015/02/10,55,FALSE,mid-shelf,FALSE,FALSE,1155,21,0.558641049,73944.10808,-6055.89192,1,34,2018/06/15,16.2,FALSE
2015/02/11,47,FALSE,mid-shelf,FALSE,FALSE,987,21,0.536767897,79340.11212,-659.8878758,2,24,2018/07/15,16.2,FALSE
2015/02/12,28,FALSE,bottom-shelf,FALSE,FALSE,588,21,0.452954692,67108.78442,-12891.21558,1,25,2018/07/15,16.2,FALSE
2015/02/13,43,FALSE,bottom-shelf,FALSE,FALSE,903,21,0.488892456,95342.96636,15342.96636,4,31,2018/07/15,16.2,FALSE
2015/02/14,34,FALSE,bottom-shelf,FALSE,FALSE,714,21,0.600342631,70179.24389,-9820.756107,1,22,2018/07/15,16.2,FALSE
2015/02/15,36,FALSE,bottom-shelf,FALSE,FALSE,756,21,0.424014621,58100.42689,-21899.57311,1,24,2018/07/15,16.2,FALSE
2015/02/16,37,FALSE,bottom-shelf,FALSE,FALSE,777,21,0.582727184,79426.47979,-573.5202065,2,25,2018/07/15,16.2,FALSE
2015/02/17,36,FALSE,bottom-shelf,FALSE,FALSE,756,21,0.345592933,78545.21448,-1454.785518,2,25,2018/07/15,16.2,FALSE
2015/02/18,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.525394295,69904.74353,-10095.25647,1,34,2018/08/15,16.2,FALSE
2015/02/19,67,TRUE,bottom-shelf,TRUE,FALSE,1266.3,18.9,0.553299538,68676.65359,-11323.34641,1,33,2018/08/15,16.2,FALSE
2015/02/20,68,TRUE,bottom-shelf,TRUE,FALSE,1285.2,18.9,0.456532267,77596.59407,-2403.405931,2,22,2018/08/15,16.2,FALSE
2015/02/21,93,TRUE,bottom-shelf,TRUE,FALSE,1757.7,18.9,0.200543021,82930.42501,2930.425012,3,34,2018/08/15,16.2,FALSE
2015/02/22,68,TRUE,bottom-shelf,TRUE,FALSE,1285.2,18.9,0.598332088,72485.34259,-7514.657411,1,30,2018/08/15,16.2,FALSE
2015/02/23,64,TRUE,bottom-shelf,TRUE,FALSE,1209.6,18.9,0.503331496,74315.03721,-5684.962786,1,32,2018/08/15,16.2,FALSE
2015/02/24,59,TRUE,bottom-shelf,TRUE,FALSE,1115.1,18.9,0.354719614,74167.10884,-5832.891163,1,30,2018/08/15,16.2,FALSE
2015/02/25,64,TRUE,bottom-shelf,TRUE,FALSE,1209.6,18.9,0.522403769,82728.45783,2728.457833,3,33,2018/09/15,14,TRUE
2015/02/26,28,FALSE,mid-shelf,FALSE,FALSE,588,21,0.486812766,86968.83061,6968.830606,4,28,2018/09/15,14,TRUE
2015/02/27,39,FALSE,mid-shelf,FALSE,FALSE,819,21,0.447384938,71476.72544,-8523.274559,1,30,2018/09/15,14,TRUE
2015/02/28,44,FALSE,mid-shelf,FALSE,FALSE,924,21,0.364598263,77927.33329,-2072.666712,2,24,2018/09/15,14,TRUE
2015/03/01,43,FALSE,mid-shelf,FALSE,FALSE,903,21,0.459560515,83774.44878,3774.448783,3,20,2018/09/15,14,TRUE
2015/03/02,31,FALSE,mid-shelf,FALSE,FALSE,651,21,0.468281825,79981.36765,-18.63234688,2,22,2018/09/15,14,TRUE
2015/03/03,48,FALSE,mid-shelf,FALSE,FALSE,1008,21,0.489345019,84872.91129,4872.911289,3,33,2018/09/15,14,TRUE
2015/03/04,30,FALSE,mid-shelf,FALSE,FALSE,630,21,0.569328748,88461.423,8461.423004,4,30,2018/10/15,14,TRUE
2015/03/05,53,FALSE,top-shelf,FALSE,FALSE,1113,21,0.302183622,78078.17709,-1921.822915,2,34,2018/10/15,14,TRUE
2015/03/06,46,FALSE,top-shelf,FALSE,FALSE,966,21,0.443310346,76966.79279,-3033.20721,2,24,2018/10/15,14,TRUE
2015/03/07,66,FALSE,top-shelf,FALSE,FALSE,1386,21,0.485292166,77819.60672,-2180.393279,2,34,2018/10/15,14,TRUE
2015/03/08,49,FALSE,top-shelf,FALSE,FALSE,1029,21,0.39320408,73195.92804,-6804.071965,1,32,2018/10/15,14,TRUE
2015/03/09,39,FALSE,top-shelf,FALSE,FALSE,819,21,0.620379123,79647.07516,-352.924838,2,24,2018/10/15,14,TRUE
2015/03/10,29,FALSE,top-shelf,FALSE,FALSE,609,21,0.572245743,72341.95459,-7658.045406,1,22,2018/10/15,14,TRUE
2015/03/11,53,FALSE,top-shelf,FALSE,FALSE,1113,21,0.540609365,77240.73591,-2759.264088,2,25,2018/11/15,16.2,FALSE
2015/03/12,38,FALSE,top-shelf,FALSE,FALSE,798,21,0.569066776,99461.21147,19461.21147,4,20,2018/11/15,16.2,FALSE
2015/03/13,68,FALSE,top-shelf,FALSE,FALSE,1428,21,0.571497585,82714.53158,2714.53158,3,29,2018/11/15,16.2,FALSE
2015/03/14,58,FALSE,top-shelf,FALSE,FALSE,1218,21,0.488393694,89351.81262,9351.812625,4,31,2018/11/15,16.2,FALSE
2015/03/15,68,FALSE,top-shelf,FALSE,FALSE,1428,21,0.449749926,84906.09034,4906.090343,3,31,2018/11/15,16.2,FALSE
2015/03/16,60,FALSE,top-shelf,FALSE,FALSE,1260,21,0.510912944,81937.67946,1937.679461,3,30,2018/11/15,16.2,FALSE
2015/03/17,44,FALSE,top-shelf,FALSE,FALSE,924,21,0.384110304,92726.01224,12726.01224,4,25,2018/11/15,16.2,FALSE
2015/03/18,49,FALSE,top-shelf,FALSE,FALSE,1029,21,0.535197866,84650.14229,4650.14229,3,20,2018/12/15,16.2,FALSE
2015/03/19,78,FALSE,top-shelf,FALSE,FALSE,1638,21,0.442233368,82524.6304,2524.630403,3,35,2018/12/15,16.2,FALSE
2015/03/20,65,FALSE,top-shelf,FALSE,FALSE,1365,21,0.524134998,81753.99088,1753.990877,3,23,2018/12/15,16.2,FALSE
2015/03/21,46,FALSE,top-shelf,FALSE,FALSE,966,21,0.488372119,87297.07017,7297.070169,4,22,2018/12/15,16.2,FALSE
